John M 0.0 2.5 0.0 2.8 0.0
Sam M 0.0 3.1 1.5 5.0 0.0
Harry M 2.1 0.0 0.0 3.0 0.0
Bill M 1.9 5.0 4.3 2.7 0.0
Arnold M 1.4 5.0 3.0 2.1 1.9
Blake M 2.3 1.3 4.3 3.8 4.1
Cam M   5.0 4.7 3.1 1.9 2.0
Darren M 3.1 4.2 1.8 2.5 1.5
Ernie M 0.0 5.0 1.3 2.8 2.0
Frank M 4.2 4.1 1.4 2.1 1.3
Greg M 0.0 4.3 3.4 5.0 1.6
Hugo M 1.4 5.0 0.0 2.5 1.8
Ian M 4.1 3.8 3.3 2.1 2.5

Janet F 0.0 5.0 1.1 2.0 2.1
Karen F 1.5 1.6 1.0 1.5 2.8
Laurie F 4.3 1.1 3.2 1.1 3.1
Muriel F 5.0 1.0 2.0 0.0 4.3
Nancy F 0.0 1.2 2.1 1.3 3.7
Ocean F 5.0 1.8 1.1 3.0 1.5
Patty F 5.0 4.3 3.2 2.6 2.5
Rose F 5.0 3.8 0.0 1.1 2.2
Salena F 1.6 3.2 3.8 0.0 1.2
Tracy F 1.1 2.3 1.5 5.0 3.5
Vicky F 4.2 3.0 0.4 3.4 1.7
Wendy F 4.1 2.1 1.3 1.4 2.0
